Rank,Team,GP,TOI,GF,GA,GF60,GA60,GF%,SF,SA,Sh%,Sv%,PDO,CF,CA,CF60,CA60,CF%,CPDO,OZFO%,DZFO%,NZFO%,Cup,Year
19,Boston,82,3909.25,130,139,1.9953,2.1334,48.3271,1988,1841,6.5392,92.4498,98.989,3612,3254,55.4377,49.9431,52.607,99.3274,31.9392,30.4767,37.5841,0,200910
20,Toronto,82,3786.183333,149,160,2.3612,2.5355,48.2201,2022,1814,7.3689,91.1797,98.5487,3926,3507,62.2157,55.5758,52.8185,99.2329,32.0911,27.27,40.6389,0,200910
21,Montreal,82,3856.75,130,140,2.0224,2.178,48.1481,1716,1973,7.5758,92.9042,100.48,3370,3770,52.4276,58.6504,47.1989,100.144,28.5114,31.3325,40.1561,0,200910
22,Detroit,82,3855.5,138,150,2.1476,2.3343,47.9167,2045,1853,6.7482,91.905,98.6532,3733,3175,58.0936,49.4099,54.0388,98.9724,33.8231,28.7856,37.3913,0,200910
23,Florida,82,3810.716667,134,146,2.1098,2.2988,47.8571,1737,2125,7.7145,93.1294,100.844,3169,3947,49.8961,62.1458,44.5334,100.529,27.1176,34.6603,38.2221,0,200910
24,Carolina,82,3727.3,138,154,2.2214,2.479,47.2603,1753,1884,7.8722,91.8259,99.6981,3402,3570,54.7635,57.4679,48.7952,99.7427,29.9413,30.4106,39.6481,0,200910
25,Minnesota,82,3747,134,150,2.1457,2.4019,47.1831,1631,1831,8.2158,91.8078,100.024,3085,3367,49.3995,53.9151,47.8146,99.8886,28.6782,34.3002,37.0215,0,200910
26,NY Islanders,82,3678.766667,139,161,2.2671,2.6259,46.3333,1810,1897,7.6796,91.5129,99.1925,3355,3677,54.7194,59.9712,47.7105,99.7645,29.2914,33.6897,37.0189,0,200910
27,Ottawa,82,3795.333333,144,169,2.2765,2.6717,46.0064,1847,1670,7.7964,89.8802,97.6767,3445,3180,54.4616,50.2723,52,98.8655,33.0606,27.0909,39.8485,0,200910
28,Tampa Bay,81,3621.833333,129,153,2.137,2.5346,45.7447,1680,1811,7.6786,91.5516,99.2302,3011,3295,49.8808,54.5856,47.7482,99.6409,27.1086,30.8123,42.0791,0,200910
29,Columbus,82,3760.75,132,163,2.106,2.6005,44.7458,1726,1829,7.6477,91.088,98.7358,2955,3237,47.1449,51.644,47.7229,99.4315,29.2653,31.8493,38.8854,0,200910
30,Edmonton,81,3760.716667,141,181,2.2496,2.8877,43.7888,1755,2041,8.0342,91.1318,99.166,3184,3909,50.7988,62.3658,44.8893,99.798,28.9434,32.8345,38.2221,0,200910
