Rank,Team,GP,TOI,GF,GA,GF60,GA60,GF%,SF,SA,Sh%,Sv%,PDO,CF,CA,CF60,CA60,CF%,CPDO,OZFO%,DZFO%,NZFO%,Cup,Year
15,Detroit,82,3843.283333,146,143,2.2793,2.2325,50.519,1851,1810,7.8876,92.0994,99.9871,3309,3119,51.659,48.6927,51.4779,99.8274,34.4011,29.2758,36.3231,0,201314
16,Vancouver,82,3887.35,139,142,2.1454,2.1917,49.4662,1916,1833,7.2547,92.2531,99.5078,3698,3508,57.0774,54.1449,51.3183,99.7109,30.4231,33.8511,35.7258,0,201314
17,Montreal,82,3819.083333,130,135,2.0424,2.1209,49.0566,1748,1940,7.4371,93.0412,100.478,3368,3842,52.9132,60.36,46.7129,100.346,27.9536,34.4673,37.5791,0,201314
18,Philadelphia,82,3743.783333,144,150,2.3078,2.404,48.9796,1794,1934,8.0268,92.2441,100.271,3508,3514,56.2212,56.3174,49.9573,99.8363,31.9911,30.2416,37.7673,0,201314
19,Ottawa,82,3799.216667,156,164,2.4637,2.59,48.75,2094,2107,7.4499,92.2164,99.6663,3920,3564,61.9075,56.2853,52.3784,99.378,32.0476,30.6473,37.3052,0,201314
20,Winnipeg,82,3881.983333,152,160,2.3493,2.473,48.7179,1946,1909,7.8109,91.6186,99.4295,3647,3635,56.3681,56.1826,50.0824,99.7662,31.4676,30.1866,38.3459,0,201314
21,New Jersey,82,3926.883333,122,134,1.8641,2.0474,47.6562,1714,1556,7.1179,91.3882,98.506,3223,2700,49.2452,41.2541,54.415,98.8223,32.2765,28.2491,39.4744,0,201314
22,Carolina,82,3938.483333,136,150,2.0719,2.2851,47.5524,1994,2028,6.8205,92.6036,99.424,3817,3774,58.1493,57.4942,50.2832,99.5884,33.4025,31.1965,35.401,0,201314
23,Toronto,82,3917.6,147,163,2.2514,2.4964,47.4194,1745,2278,8.4241,92.8446,101.269,3259,4342,49.9132,66.4999,42.8759,100.757,26.0473,38.2454,35.7072,0,201314
24,Washington,82,3890.916667,134,152,2.0664,2.3439,46.8531,1755,2030,7.6353,92.5123,100.148,3366,3693,51.9055,56.948,47.6838,99.8651,31.9562,30.9986,37.0451,0,201314
25,Nashville,82,3991.816667,150,171,2.2546,2.5703,46.729,1906,1908,7.8699,91.0377,98.9076,3409,3625,51.2398,54.4865,48.4646,99.6829,30.8212,33.9137,35.2651,0,201314
26,NY Islanders,82,3893.85,139,170,2.1418,2.6195,44.9838,1918,1914,7.2471,91.1181,98.3652,3595,3682,55.395,56.7356,49.4022,99.2494,32.2616,31.3896,36.3488,0,201314
27,Calgary,82,3993.3,136,172,2.0434,2.5843,44.1558,1730,1888,7.8613,90.8898,98.7511,3321,3848,49.8986,57.8168,46.3245,99.6253,30.5157,32.8017,36.6826,0,201314
28,Florida,82,3877.65,139,176,2.1508,2.7233,44.127,1930,1916,7.2021,90.8142,98.0163,3497,3364,54.1101,52.0521,50.9692,98.743,31.177,31.8837,36.9394,0,201314
29,Edmonton,82,3841.533333,127,178,1.9836,2.7801,41.6393,1652,2055,7.6877,91.3382,99.0258,3103,3898,48.465,60.8819,44.3222,99.5264,27.6479,34.663,37.6891,0,201314
30,Buffalo,82,3890.733333,96,165,1.4804,2.5445,36.7816,1643,2154,5.843,92.3398,98.1828,3009,3982,46.4026,61.4074,43.0411,99.0468,28.4394,36.4328,35.1278,0,201314
